sensor,temperature,humidity,zone,location,timestamp
{'C37E14567097'},15.655000,64.535004,zone3,bottom,2024-06-18 18:16:27
{'C4D912ED63C6'},15.205000,65.824997,zone2,bottom,2024-06-18 18:26:26
{'DBC358D90370'},15.095000,66.767502,zone3,top,2024-06-18 18:26:27
{'C37E14567097'},15.360000,65.239998,zone3,bottom,2024-06-18 18:26:27
{'C37E14567097'},15.015000,66.147499,zone3,bottom,2024-06-18 18:36:27
{'EEC412FDCADF'},15.140000,64.980003,zone1,top,2024-06-18 18:36:27
{'DBC358D90370'},14.765000,67.777496,zone3,top,2024-06-18 18:36:27
{'DBC358D90370'},14.350000,69.802498,zone3,top,2024-06-18 18:46:27
{'EEC412FDCADF'},14.815000,66.514999,zone1,top,2024-06-18 18:46:27
{'C571D4304234'},14.490000,68.595001,zone2,top,2024-06-18 18:46:28
{'DBC358D90370'},13.975000,70.910004,zone3,top,2024-06-18 18:56:28
{'C571D4304234'},14.150000,69.525002,zone2,top,2024-06-18 18:56:28
{'C631F5295273'},14.690000,68.727501,zone1,bottom,2024-06-18 18:56:28
{'C571D4304234'},13.760000,71.480003,zone2,top,2024-06-18 19:06:28
{'C37E14567097'},13.955000,70.680000,zone3,bottom,2024-06-18 19:06:29
{'C631F5295273'},14.375000,70.745003,zone1,bottom,2024-06-18 19:06:29
{'C571D4304234'},13.440000,72.139999,zone2,top,2024-06-18 19:16:28
{'C37E14567097'},13.655000,71.227501,zone3,bottom,2024-06-18 19:16:29
{'C631F5295273'},14.065000,71.047501,zone1,bottom,2024-06-18 19:16:29
{'C571D4304234'},13.125000,72.705002,zone2,top,2024-06-18 19:26:28
{'C4D912ED63C6'},13.150000,72.934998,zone2,bottom,2024-06-18 19:26:29
{'DBC358D90370'},13.030000,73.752502,zone3,top,2024-06-18 19:26:29
{'C37E14567097'},13.095000,71.754997,zone3,bottom,2024-06-18 19:36:29
{'C571D4304234'},12.850000,72.745003,zone2,top,2024-06-18 19:36:29
{'EEC412FDCADF'},13.320000,69.902496,zone1,top,2024-06-18 19:36:30
{'C37E14567097'},12.725000,72.547501,zone3,bottom,2024-06-18 19:46:30
{'EEC412FDCADF'},13.025000,70.860001,zone1,top,2024-06-18 19:46:30
{'C571D4304234'},12.470000,73.269997,zone2,top,2024-06-18 19:46:30
{'C37E14567097'},12.415000,73.937500,zone3,bottom,2024-06-18 19:56:30
{'C4D912ED63C6'},12.150000,74.987503,zone2,bottom,2024-06-18 19:56:31
{'C571D4304234'},12.085000,74.754997,zone2,top,2024-06-18 19:56:30
{'DBC358D90370'},11.890000,76.199997,zone3,top,2024-06-18 19:56:31
{'DBC358D90370'},11.600000,77.400002,zone3,top,2024-06-18 20:06:31
{'EEC412FDCADF'},12.545000,72.964996,zone1,top,2024-06-18 20:06:31
{'C571D4304234'},11.820000,75.470001,zone2,top,2024-06-18 20:06:31
{'C571D4304234'},11.375000,75.777496,zone2,top,2024-06-18 20:16:31
{'EEC412FDCADF'},12.260000,73.089996,zone1,top,2024-06-18 20:16:32
{'C37E14567097'},11.720000,74.625000,zone3,bottom,2024-06-18 20:16:32
{'DBC358D90370'},10.790000,78.092499,zone3,top,2024-06-18 20:26:31
{'C631F5295273'},12.195000,76.132500,zone1,bottom,2024-06-18 20:26:32
{'C4D912ED63C6'},11.065000,77.404999,zone2,bottom,2024-06-18 20:26:32
{'C37E14567097'},11.140000,77.302498,zone3,bottom,2024-06-18 20:36:31
{'C631F5295273'},11.945000,77.252502,zone1,bottom,2024-06-18 20:36:32
{'C4D912ED63C6'},10.725000,77.992500,zone2,bottom,2024-06-18 20:36:32
{'DBC358D90370'},10.205000,79.870003,zone3,top,2024-06-18 20:46:31
{'EEC412FDCADF'},11.420000,76.222504,zone1,top,2024-06-18 20:46:32
{'C571D4304234'},10.330000,78.397499,zone2,top,2024-06-18 20:46:32
{'DBC358D90370'},9.920000,80.792503,zone3,top,2024-06-18 20:56:32
{'C631F5295273'},11.510000,79.029999,zone1,bottom,2024-06-18 20:56:33
{'C4D912ED63C6'},10.220000,80.047501,zone2,bottom,2024-06-18 20:56:33
{'C4D912ED63C6'},9.900000,80.242500,zone2,bottom,2024-06-18 21:06:33
{'C37E14567097'},10.405000,78.830002,zone3,bottom,2024-06-18 21:06:34
{'C571D4304234'},9.545000,80.919998,zone2,top,2024-06-18 21:16:35
{'DBC358D90370'},9.500000,82.347504,zone3,top,2024-06-18 21:16:36
{'C631F5295273'},11.115000,80.687500,zone1,bottom,2024-06-18 21:26:37
{'C571D4304234'},9.500000,80.930000,zone2,top,2024-06-18 21:26:37
{'C4D912ED63C6'},9.670000,82.002502,zone2,bottom,2024-06-18 21:26:37
{'C571D4304234'},9.305000,81.222504,zone2,top,2024-06-18 21:36:36
{'C631F5295273'},10.990000,81.205002,zone1,bottom,2024-06-18 21:36:37
{'DBC358D90370'},9.125000,82.675003,zone3,top,2024-06-18 21:36:37
{'DBC358D90370'},9.190000,84.190002,zone3,top,2024-06-18 21:46:36
{'C631F5295273'},11.080000,81.754997,zone1,bottom,2024-06-18 21:46:37
{'C37E14567097'},9.905000,81.589996,zone3,bottom,2024-06-18 21:46:37
{'C571D4304234'},9.920000,83.565002,zone2,top,2024-06-18 21:56:37
{'C37E14567097'},10.305000,82.562500,zone3,bottom,2024-06-18 21:56:37
{'C631F5295273'},11.405000,82.105003,zone1,bottom,2024-06-18 21:56:37
{'C37E14567097'},10.860000,83.455002,zone3,bottom,2024-06-18 22:06:37
{'C37E14567097'},11.135000,82.862503,zone3,bottom,2024-06-18 22:16:37
{'DBC358D90370'},10.920000,85.077499,zone3,top,2024-06-18 22:16:38
{'C631F5295273'},11.960000,81.809998,zone1,bottom,2024-06-18 22:16:38
{'DBC358D90370'},11.315000,85.625000,zone3,top,2024-06-18 22:26:38
{'C37E14567097'},11.540000,83.684998,zone3,bottom,2024-06-18 22:26:39
{'C4D912ED63C6'},11.720000,84.940002,zone2,bottom,2024-06-18 22:36:39
{'DBC358D90370'},11.710000,85.510002,zone3,top,2024-06-18 22:36:40
{'EEC412FDCADF'},12.420000,80.620003,zone1,top,2024-06-18 22:36:40
{'C571D4304234'},11.845000,84.117500,zone2,top,2024-06-18 22:46:40
{'C37E14567097'},12.025000,83.224998,zone3,bottom,2024-06-18 22:46:40
{'C571D4304234'},11.905000,84.000000,zone2,top,2024-06-18 22:56:40
{'C631F5295273'},12.710000,82.239998,zone1,bottom,2024-06-18 22:56:41
{'C4D912ED63C6'},11.900000,84.652496,zone2,bottom,2024-06-18 22:56:41
{'DBC358D90370'},11.795000,85.275002,zone3,top,2024-06-18 23:06:41
{'C571D4304234'},11.890000,83.657501,zone2,top,2024-06-18 23:06:41
{'C4D912ED63C6'},11.875000,84.407501,zone2,bottom,2024-06-18 23:06:41
{'DBC358D90370'},11.690000,85.562500,zone3,top,2024-06-18 23:16:41
{'C571D4304234'},11.780000,83.790001,zone2,top,2024-06-18 23:16:41
{'C4D912ED63C6'},11.765000,84.620003,zone2,bottom,2024-06-18 23:16:41
{'C4D912ED63C6'},11.860000,84.937500,zone2,bottom,2024-06-18 23:26:41
{'C571D4304234'},11.900000,84.182503,zone2,top,2024-06-18 23:26:41
{'EEC412FDCADF'},12.600000,80.559998,zone1,top,2024-06-18 23:26:42
{'DBC358D90370'},11.920000,85.617500,zone3,top,2024-06-18 23:36:41
{'C631F5295273'},12.740000,82.434998,zone1,bottom,2024-06-18 23:36:42
{'EEC412FDCADF'},12.670000,80.339996,zone1,top,2024-06-18 23:36:42
{'EEC412FDCADF'},12.710000,80.440002,zone1,top,2024-06-18 23:46:42
{'C571D4304234'},12.110000,84.330002,zone2,top,2024-06-18 23:46:42
{'C4D912ED63C6'},12.100000,84.724998,zone2,bottom,2024-06-18 23:46:43
{'DBC358D90370'},11.985000,85.375000,zone3,top,2024-06-18 23:56:43
{'C37E14567097'},12.265000,82.772499,zone3,bottom,2024-06-18 23:56:43
{'EEC412FDCADF'},12.625000,80.165001,zone1,top,2024-06-18 23:56:44
{'C37E14567097'},12.025000,83.059998,zone3,bottom,2024-06-19 00:06:43
{'C571D4304234'},11.710000,83.852501,zone2,top,2024-06-19 00:06:44
{'C4D912ED63C6'},11.640000,84.580002,zone2,bottom,2024-06-19 00:16:44
{'C37E14567097'},11.875000,83.014999,zone3,bottom,2024-06-19 00:16:44
{'EEC412FDCADF'},12.235000,81.014999,zone1,top,2024-06-19 00:16:44
{'EEC412FDCADF'},11.920000,81.004997,zone1,top,2024-06-19 00:26:44
{'C631F5295273'},12.030000,83.389999,zone1,bottom,2024-06-19 00:26:45
{'C571D4304234'},11.180000,83.574997,zone2,top,2024-06-19 00:26:45
{'C37E14567097'},11.280000,83.459999,zone3,bottom,2024-06-19 00:36:45
{'C571D4304234'},10.945000,84.334999,zone2,top,2024-06-19 00:36:45
{'C4D912ED63C6'},10.970000,85.822502,zone2,bottom,2024-06-19 00:46:45
{'C631F5295273'},11.865000,84.760002,zone1,bottom,2024-06-19 00:46:46
{'DBC358D90370'},10.790000,86.597504,zone3,top,2024-06-19 00:46:46
{'C571D4304234'},10.985000,85.222504,zone2,top,2024-06-19 00:56:46
{'DBC358D90370'},10.875000,86.705002,zone3,top,2024-06-19 00:56:48
{'C631F5295273'},11.860000,84.904999,zone1,bottom,2024-06-19 01:06:47
{'DBC358D90370'},10.750000,86.760002,zone3,top,2024-06-19 01:06:47
{'EEC412FDCADF'},11.860000,82.964996,zone1,top,2024-06-19 01:16:47
{'C4D912ED63C6'},10.990000,86.639999,zone2,bottom,2024-06-19 01:16:47
{'C571D4304234'},10.970000,85.885002,zone2,top,2024-06-19 01:16:48
{'DBC358D90370'},11.275000,87.867500,zone3,top,2024-06-19 01:26:48
{'C4D912ED63C6'},11.385000,87.099998,zone2,bottom,2024-06-19 01:26:48
{'EEC412FDCADF'},12.080000,83.097504,zone1,top,2024-06-19 01:26:49
{'C4D912ED63C6'},11.545000,87.042503,zone2,bottom,2024-06-19 01:36:49
{'C631F5295273'},12.275000,85.202499,zone1,bottom,2024-06-19 01:36:49
{'EEC412FDCADF'},12.225000,82.915001,zone1,top,2024-06-19 01:36:50
{'C631F5295273'},12.415000,84.955002,zone1,bottom,2024-06-19 01:46:50
{'EEC412FDCADF'},12.385000,82.790001,zone1,top,2024-06-19 01:46:50
{'C37E14567097'},11.820000,85.567497,zone3,bottom,2024-06-19 01:46:50
{'EEC412FDCADF'},12.525000,82.692497,zone1,top,2024-06-19 01:56:50
{'C4D912ED63C6'},11.885000,87.074997,zone2,bottom,2024-06-19 01:56:50
{'DBC358D90370'},11.830000,87.849998,zone3,top,2024-06-19 01:56:51
{'C37E14567097'},12.155000,85.449997,zone3,bottom,2024-06-19 02:06:51
{'DBC358D90370'},12.030000,87.724998,zone3,top,2024-06-19 02:06:51
{'C631F5295273'},12.740000,84.627502,zone1,bottom,2024-06-19 02:06:52
{'C37E14567097'},12.305000,85.462502,zone3,bottom,2024-06-19 02:16:52
{'C4D912ED63C6'},12.265000,86.932503,zone2,bottom,2024-06-19 02:16:52
{'EEC412FDCADF'},12.960000,82.324997,zone1,top,2024-06-19 02:16:52
{'DBC358D90370'},12.500000,87.489998,zone3,top,2024-06-19 02:26:53
{'C37E14567097'},12.500000,85.440002,zone3,bottom,2024-06-19 02:26:53
{'EEC412FDCADF'},13.195000,81.800003,zone1,top,2024-06-19 02:26:53
{'C4D912ED63C6'},12.795000,86.442497,zone2,bottom,2024-06-19 02:36:53
{'C37E14567097'},12.710000,85.497498,zone3,bottom,2024-06-19 02:36:54
{'EEC412FDCADF'},13.625000,81.250000,zone1,top,2024-06-19 02:46:54
{'C571D4304234'},13.100000,85.764999,zone2,top,2024-06-19 02:46:55
{'C631F5295273'},13.795000,82.925003,zone1,bottom,2024-06-19 02:56:55
{'DBC358D90370'},13.420000,86.205002,zone3,top,2024-06-19 02:56:55
{'C631F5295273'},13.945000,82.437500,zone1,bottom,2024-06-19 03:06:55
{'DBC358D90370'},13.595000,85.722504,zone3,top,2024-06-19 03:06:56
{'C4D912ED63C6'},13.610000,85.010002,zone2,bottom,2024-06-19 03:06:56
{'C631F5295273'},14.000000,82.512497,zone1,bottom,2024-06-19 03:16:56
{'C37E14567097'},13.545000,84.500000,zone3,bottom,2024-06-19 03:16:56
{'C571D4304234'},13.740000,84.714996,zone2,top,2024-06-19 03:16:57
{'C631F5295273'},14.085000,81.972504,zone1,bottom,2024-06-19 03:26:57
{'EEC412FDCADF'},14.170000,79.830002,zone1,top,2024-06-19 03:26:57
{'C571D4304234'},13.845000,84.379997,zone2,top,2024-06-19 03:26:57
{'C571D4304234'},13.985000,84.397499,zone2,top,2024-06-19 03:36:57
{'C631F5295273'},14.240000,81.769997,zone1,bottom,2024-06-19 03:36:58
{'EEC412FDCADF'},14.335000,79.467499,zone1,top,2024-06-19 03:36:58
{'C37E14567097'},13.945000,83.900002,zone3,bottom,2024-06-19 03:46:58
{'C631F5295273'},14.510000,81.735001,zone1,bottom,2024-06-19 03:46:58
{'EEC412FDCADF'},14.585000,79.224998,zone1,top,2024-06-19 03:46:59
{'C37E14567097'},14.320000,83.529999,zone3,bottom,2024-06-19 03:56:59
{'DBC358D90370'},14.525000,84.404999,zone3,top,2024-06-19 03:57:00
{'C4D912ED63C6'},14.720000,83.035004,zone2,bottom,2024-06-19 04:07:00
{'EEC412FDCADF'},15.405000,76.692497,zone1,top,2024-06-19 04:07:00
{'C571D4304234'},14.780000,82.540001,zone2,top,2024-06-19 04:07:00
{'DBC358D90370'},15.115000,83.147499,zone3,top,2024-06-19 04:17:00
{'C631F5295273'},15.845000,77.885002,zone1,bottom,2024-06-19 04:17:01
{'C37E14567097'},14.875000,81.964996,zone3,bottom,2024-06-19 04:17:01
{'C37E14567097'},15.195000,79.879997,zone3,bottom,2024-06-19 04:27:01
